row  column  layer  Head         
2  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
3  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
4  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
5  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
6  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
7  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
8  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
9  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
10  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
11  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
12  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
13  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
14  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
15  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
16  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
